<<<<<<< HEAD
plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd MB wagon isEngine nROCs power mrot phi HDorLD hash hash_hdld dataPp0 trigPp0 dataPp0_type trigPp0_type dataPp1 trigPp1 dataPp1_type trigPp1_type dataPp2 DAQ engine_trig_fibres engine_data_fibres engine_ctrl_fibres isSiPM
1 2 0 gIe 334.880 0.000 3 6 334.900 96.700 316.000 85.800 316.000 -85.800 334.900 -96.700 418.600 -48.300 418.600 48.300 334.900 96.700 1 1.000 7.000 3.184 4.000 3.184 4.000 0 0 False 6 7.200 0 0.000 1 102000 102001 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_2 A A PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 3.000 2.000 2.000 False
1 3 0 FI 502.320 0.000 0 6 502.300 -96.700 586.000 -48.300 586.000 48.300 502.300 96.700 418.600 48.300 418.600 -48.300 502.300 -96.700 1 1.000 7.000 2.442 3.000 2.764 3.000 0 0 False 6 7.200 0 0.000 1 103000 103001 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_2 A A PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 3.000 2.000 2.000 False
1 4 0 FI 669.760 0.000 0 6 669.800 -96.700 753.500 -48.300 753.500 48.300 669.800 96.700 586.000 48.300 586.000 -48.300 669.800 -96.700 1 1.000 5.000 1.738 2.000 1.808 2.000 0 0 True 6 7.200 0 0.000 1 104000 104001 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_2 A A PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 3.000 2.000 2.000 False
1 4 1 FI 586.040 145.010 0 6 586.000 48.300 669.800 96.700 669.800 193.300 586.000 241.700 502.300 193.300 502.300 96.700 586.000 48.300 1 1.000 5.000 1.971 3.000 2.086 3.000 1 0 False 6 7.200 0 13.898 1 104010 104011 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_2 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2.000 1.000 1.000 False
1 5 1 FI 753.480 145.010 0 6 753.500 48.300 837.200 96.700 837.200 193.300 753.500 241.700 669.800 193.300 669.800 96.700 753.500 48.300 1 1.000 4.000 1.484 2.000 1.512 2.000 1 0 True 6 7.200 0 10.894 1 105010 105011 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_2 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2.000 1.000 1.000 False
1 5 2 FI 669.760 290.020 0 6 669.800 193.300 753.500 241.700 753.500 338.400 669.800 386.700 586.000 338.400 586.000 241.700 669.800 193.300 1 1.000 4.000 1.568 2.000 1.607 2.000 1 0 False 6 7.200 0 23.414 1 105020 105021 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_2 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2.000 1.000 1.000 False
1 2 1 dIe 251.160 145.010 3 5 251.200 241.700 232.300 230.800 316.000 85.800 334.900 96.700 334.900 193.300 251.200 241.700 0.000 0.000 1 1.000 5.000 1.757 2.000 1.757 2.000 2 0 False 3 3.600 0 30.000 1 102010 102011 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_2 A A PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 4.000 2.000 2.000 False
1 3 2 FI 334.880 290.020 1 6 334.900 193.300 418.600 241.700 418.600 338.400 334.900 386.700 251.200 338.400 251.200 241.700 334.900 193.300 1 1.000 8.000 2.841 3.000 3.392 4.000 2 0 False 6 7.200 0 40.894 1 103020 103021 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_2 A A PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 4.000 2.000 2.000 False
1 4 3 FI 418.600 435.020 1 6 418.600 338.400 502.300 386.700 502.300 483.400 418.600 531.700 334.900 483.400 334.900 386.700 418.600 338.400 1 1.000 5.000 1.971 3.000 2.087 3.000 2 0 False 6 7.200 0 46.102 1 104030 104031 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_2 A A PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 4.000 2.000 2.000 False
1 5 4 FI 502.320 580.030 1 6 502.300 483.400 586.000 531.700 586.000 628.400 502.300 676.700 418.600 628.400 418.600 531.700 502.300 483.400 1 1.000 4.000 1.479 2.000 1.507 2.000 2 0 True 6 7.200 0 49.107 1 105040 105041 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_2 A A PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 4.000 2.000 2.000 False
